year,date,contract_number,procurement_instrument,object,cnpj,observed_value_R$,value_basis,economic_origin,admin_channel,payment_evidence,overlap_group,source_url,limitations
2020,2020-06-10,033/2020,Dispensa 28/2020,"Auxílio emergencial a hospital filantrópico participante do SUS no contexto COVID-19, com fundamento na Lei Federal 13.995/2020",96488598000189,1713705.90,"valor do contrato/repasse publicado","Federal","Prefeitura/FMS → Fundação","NÃO — instrumento administrativo publicado","COVID_2020_FEDERAL_AID","https://www.saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/1430-extrato-de-contrato","Valor contratado/repasse publicado não equivale automaticamente a pagamento executado; reconciliar com execução e fonte."
2020,2020-08-10,058/2020,Dispensa 45/2020,"Repasse para ações e serviços de saúde no enfrentamento da COVID-19, com recurso da Portaria 1.666/2020",96488598000189,200000.00,"valor do contrato/repasse publicado","Federal, conforme Portaria 1.666/2020","Prefeitura/FMS → Fundação","NÃO — instrumento administrativo publicado","COVID_2020_FEDERAL_AID","https://www.saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/1519-extrato-de-contrato","Não somar ao fluxo anual sem verificar execução e eventual incorporação em outros agregados."
2020,2020-11-11,089/2020,"Contrato/repasse — programa de enfrentamento COVID-19","Auxílio para honorários médicos da unidade especial COVID-19 por três meses",96488598000189,90000.00,"valor total do repasse publicado","Origem pública; programa emergencial, esfera a confirmar na execução","Prefeitura/FMS → Fundação","NÃO — instrumento administrativo publicado","COVID_2020_MEDICAL_FEES","https://www.saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/1709-extrato-de-contrato","Objeto informa programa emergencial, mas o extrato usado não basta para decompor a origem econômica."
2020,2020-12-17,098/2020,"Contrato/repasse — programa de enfrentamento COVID-19","Auxílio em parcela única para medicamentos, materiais hospitalares e EPIs no combate à COVID-19",96488598000189,170000.00,"valor do repasse publicado","Origem pública; programa emergencial, esfera a confirmar na execução","Prefeitura/FMS → Fundação","NÃO — instrumento administrativo publicado","COVID_2020_SUPPLIES","https://www.saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/1754-extrato-de-contrato","Instrumento não prova pagamento; reconciliar fonte e execução."
2021,2021-02-11,003/2021,"Contrato/repasse — programa de enfrentamento COVID-19","Auxílio para honorários médicos da unidade especial COVID-19 por três meses",96488598000189,90000.00,"valor total do contrato publicado","Origem pública; programa emergencial, esfera a confirmar na execução","Prefeitura/FMS → Fundação","NÃO — instrumento administrativo publicado","COVID_2021_MEDICAL_FEES","https://www.saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/1821-extrato-de-contrato","Pode se relacionar a processo/PRD diferente do número do contrato; exige crosswalk processo→contrato→execução."
2021,2021-07-15,056/2021,Inexigibilidade 13/2021,"Tomografias para diagnóstico e tratamento de COVID-19, autorizadas pela regulação municipal",96488598000189,27282.00,"valor mensal estimado do contrato","SUS/origem pública a decompor","Prefeitura/FMS → Fundação","NÃO — contrato estimado","COVID_2021_CT","https://www.saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/2046-extrato-de-contrato","R$ 27.282 é estimativa mensal, não valor anual nem pagamento; depende de produção/autorização."
2022,2022-09-26,124/2022,Inexigibilidade 021/2022,"Serviços técnico-profissionais especializados em doença renal crônica, hemodiálise e estágios 4 e 5 pré-dialítico para pacientes SUS",96488598000189,2584531.56,"valor publicado da inexigibilidade/contratação","SUS/origem pública a decompor","Prefeitura/FMS → Fundação","NÃO — instrumento administrativo publicado","RENAL_124_2022","https://www.saoborja.rs.gov.br/index.php/vacinacao/itemlist/user/625-fernandarohlederbronzoni?start=0","Valor-base do instrumento; posteriores aditivos alteram componentes. Não somar contrato e aditivos como fluxos independentes."
2023,2023-03-30,020/2023,Inexigibilidade 13/2023,"Repasse de recurso federal à Fundação conforme LC 172/2020, LC 197/2022 e Portaria 96/2023",96488598000189,1023851.21,"valor total publicado do contrato","Federal","Prefeitura/FMS → Fundação","NÃO — autorização/contrato publicado","FEDERAL_LC197_2023","https://www.saoborja.rs.gov.br/images/DOESB/2023/Abril/doesb10_04_2023.pdf","Comprova valor autorizado/contratado e origem federal; execução financeira deve ser verificada separadamente."
2023,2023-09-28,146/2023,Inexigibilidade 31/2023,"Mutirão de tomografias e ressonâncias sem contraste por 90 dias para demanda SUS",96488598000189,142367.25,"preço total estimado do contrato","SUS/origem pública a decompor","Prefeitura/FMS → Fundação","NÃO — contrato estimado","IMAGING_2023_2024","https://www.saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/3409-contrato-de-numero-146-2023-dcl-smpop","Valor estimado; pagamento depende de realização dos exames. Não confundir com contrato posterior de 2024."
2024,2024-03-25,"124/2022 — 1º aditivo","1º termo aditivo ao Contrato 124/2022","Acréscimo ao contrato renal/hemodiálise por Portaria GM/MS 1.992/2023",96488598000189,1263465.75,"acréscimo contratual; 15 parcelas de R$ 84.231,05","Federal","FNS/FMS → Fundação","NÃO — aditivo publicado","RENAL_124_2022","https://www.saoborja.rs.gov.br/images/DOESB/2024/Marco/doesb25_03_2024.pdf","Componente do mesmo contrato renal; não somar como contrato independente. Temporalidade foi posteriormente alterada."
